items	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs	SCG	functional_homogeneity_index	geometric_homogeneity_index	combined_homogeneity_index
GC_00000204	31	62	2	0	0.802340406660902	0.966395119689863	0.876759517491941
GC_00000205	31	62	2	0	0.744029990627929	0.920527414850368	0.822921458388598
GC_00000206	31	62	2	0	0.79417040197555	0.965724295046379	0.871585843053405
GC_00000207	31	62	2	0	0.806511156916232	0.990190415343619	0.888961895259752
GC_00000208	31	62	2	0	0.81376	0.7984165787153	0.80601527608484
GC_00000209	31	62	2	0	0.901459121872342	0.982920646173565	0.940429097780709
GC_00000210	31	62	2	0	0.934125133117319	0.971398979362187	0.952397500471398
GC_00000211	31	62	2	0	0.874929527725401	0.975498520394174	0.922481109830377
GC_00000212	31	62	2	0	0.908018058281354	0.889104275377556	0.898461637939008
GC_00000213	31	62	2	0	0.764665132144725	0.946197393710465	0.845800459315042
GC_00000214	31	62	2	0	0.848479430487951	0.986006785908432	0.912088048072936
GC_00000215	31	62	2	0	0.758615511914917	0.947496211854789	0.842600532871888
GC_00000216	31	62	2	0	0.850236067566466	0.72964843651308	0.785340214129559
GC_00000217	31	62	2	0	0.872612717567114	0.96276173394978	0.915473278313541
GC_00000218	31	62	2	0	0.910920906904429	0.995505325086122	0.951336693063436
GC_00000219	31	62	2	0	0.9340366936554	0.98211106448507	0.957470808372568
GC_00000220	31	62	2	0	0.880181386492147	0.908238017836115	0.893989626671641
GC_00000221	31	62	2	0	0.735904381330401	0.831247656207995	0.780675744945522
GC_00000222	31	62	2	0	0.757465362621461	0.991950978280769	0.858993356697069
GC_00000223	31	62	2	0	0.750074177085278	0.994708298261923	0.855241290878095
GC_00000224	31	62	2	0	0.950565133045921	0.999518301909518	0.97442727896221
GC_00000225	31	62	2	0	0.911266746613089	0.993482157032144	0.95060010411268
GC_00000226	31	62	2	0	0.81199185727849	0.988809936162499	0.891720143198895
GC_00000227	31	62	2	0	0.896230027175182	0.881936095432355	0.889025609842381
GC_00000228	31	62	2	0	0.788298380016684	0.786286127259486	0.787290967850902
GC_00000229	31	62	2	0	0.736862578431749	0.974381727351845	0.839138432270184
GC_00000230	31	62	2	0	0.84800856327202	0.971494263960752	0.905561060612709
GC_00000231	31	62	2	0	0.740400866851236	1.0	0.850839459981173
GC_00000232	31	62	2	0	0.860577423414394	0.94843030558287	0.902370615209093
GC_00000233	31	62	2	0	0.788219248823183	0.897886565642761	0.839486428701429
GC_00000234	31	62	2	0	0.831668455323727	0.873271405163188	0.851962344763331
GC_00000235	31	62	2	0	0.771372626699362	0.895865636170296	0.82897117266604
GC_00000236	31	62	2	0	0.913731410294076	1.0	0.954921265731502
GC_00000237	31	62	2	0	0.790306495431245	0.938247856601046	0.857946265356888
GC_00000238	31	62	2	0	0.888892363885185	0.851972997197352	0.870041197182733
GC_00000239	31	62	2	0	0.79639181836112	0.974401527663634	0.876449424402848
GC_00000240	31	62	2	0	0.862971443313239	0.981944375107673	0.918621810468596
GC_00000241	31	62	2	0	0.797488345986492	0.868182289241381	0.831335130990234
GC_00000242	31	62	2	0	0.788024185004252	0.960951680267736	0.865938952855347
GC_00000243	31	62	2	0	0.79051303192221	0.992604706497025	0.88010672444865
GC_00000244	31	62	2	0	0.815613616567031	0.96279638588032	0.883114513779015
GC_00000245	31	62	2	0	0.825774542637528	0.990594653796301	0.900706584084181
GC_00000246	31	62	2	0	0.789602515404347	0.996730052728309	0.881157933134582
GC_00000247	31	62	2	0	0.780265483689833	0.961841484070938	0.861590849115548
GC_00000248	31	62	2	0	0.841758343375148	1.0	0.914081205499054
GC_00000249	31	62	2	0	0.761431171322202	0.836761551363615	0.797321022838161
GC_00000250	31	62	2	0	0.866673879229433	0.937978623896312	0.900917568560687
GC_00000251	31	62	2	0	0.760627058819977	0.955792910831236	0.847114300067575
GC_00000252	31	62	2	0	0.822749092151348	0.988431724521162	0.898012276319755
GC_00000253	31	62	2	0	0.963084308840426	0.991682639327203	0.977174276637695
GC_00000254	31	62	2	0	0.758594850956963	0.826793140898599	0.791227160435505
GC_00000255	31	62	2	0	0.865182680323494	0.913681212553872	0.888770820076537
GC_00000256	31	62	2	0	0.82946563694516	0.917607244723383	0.871313023854005
GC_00000257	31	62	2	0	0.731684383799222	0.869366815112796	0.794605597676772
GC_00000258	31	62	2	0	0.88034073607978	1.0	0.936362989098619
GC_00000259	31	62	2	0	0.830443303912594	0.981108523490376	0.899510564831239
GC_00000260	31	62	2	0	0.78731826420434	0.989693662848382	0.876982179877857
GC_00000261	31	62	2	0	0.748722526419117	0.977669801566436	0.848015126071186
GC_00000262	31	62	2	0	0.777657636298213	0.978501651173916	0.866594831794702
GC_00000263	31	62	2	0	0.768355194895699	0.799036112838334	0.78339537188856
GC_00000264	31	62	2	0	0.785302785363085	0.896995152083614	0.837441187685893
GC_00000265	31	62	2	0	0.899467835013094	0.953565079293838	0.925726802577939
GC_00000266	31	62	2	0	0.787210667221769	0.890713854668689	0.835769951138706
GC_00000267	31	62	2	0	0.789672389742788	0.845060584629756	0.816428152858608
GC_00000268	31	62	2	0	0.751241396754396	0.947970866415681	0.838217770909897
GC_00000269	31	62	2	0	0.769394718543314	0.930726935835883	0.842406056053223
GC_00000270	31	62	2	0	0.815142891498657	0.89115482677172	0.851455774088514
GC_00000271	31	62	2	0	0.882391224996759	0.99960674560137	0.937348748028553
GC_00000272	31	62	2	0	0.817822039007838	0.968449928380262	0.886785113985792
GC_00000273	31	62	2	0	0.940074394627418	0.998795226966443	0.968545597795658
GC_00000274	31	62	2	0	0.927589181401385	0.779454083805145	0.847094142572076
GC_00000275	31	62	2	0	0.8017974547943	0.976573877313479	0.880597246605968
GC_00000276	31	62	2	0	0.799058324905559	0.970258106878684	0.876375535411364
GC_00000277	31	62	2	0	0.899150980366378	0.975239453953286	0.935650860203356
GC_00000278	31	62	2	0	0.77791384860883	1.0	0.875086100732639
GC_00000279	31	62	2	0	0.728998245284201	0.978620858904855	0.835564426739012
GC_00000280	31	62	2	0	0.75171855655701	0.937509276481116	0.83439676554191
GC_00000281	31	62	2	0	0.909709976154827	0.999604215931803	0.952540897887304
GC_00000282	31	62	2	0	0.910439125763068	0.987336448629349	0.947329858444308
GC_00000283	31	62	2	0	0.738459048956215	0.965972385077024	0.837031087972805
GC_00000284	31	62	2	0	0.902219010203789	0.957965919917602	0.929257140063617
GC_00000285	31	62	2	0	0.8052865253593	0.991144571696059	0.888601148775655
GC_00000286	31	62	2	0	0.920454492389793	0.950362762001603	0.935169559326008
GC_00000287	31	62	2	0	0.795682400646083	0.993422766282932	0.883624983196796
GC_00000288	31	62	2	0	0.730842929544444	0.863174893139903	0.791515952499486
GC_00000289	31	62	2	0	0.958021505963126	0.980083901421436	0.96892713020915
GC_00000290	31	62	2	0	0.890370249375277	0.996149341877928	0.940294224406838
GC_00000291	31	62	2	0	0.780225190113714	0.971605319500125	0.865461516924471
GC_00000292	31	62	2	0	0.933624552345197	0.996737999415883	0.964149524824887
GC_00000293	31	62	2	0	0.820523847219293	0.913553422650147	0.864543215020273
GC_00000294	31	62	2	0	0.937543742147494	1.0	0.967765239827163
GC_00000295	31	62	2	0	0.938838985214586	0.992343508794321	0.964850060179186
GC_00000296	31	62	2	0	0.841683402508145	0.875456970087142	0.858238048667774
GC_00000297	31	62	2	0	0.756392644542453	0.976558845453819	0.852490022863511
GC_00000298	31	62	2	0	0.817944933183759	0.90448087431694	0.859039089042281
GC_00000299	31	62	2	0	0.755816997719729	0.963620672369019	0.847161715949874
GC_00000300	31	62	2	0	0.844280695009558	0.989944020657645	0.911328496058753
GC_00000301	31	62	2	0	0.785310180312387	0.987276845813338	0.874787580385828
GC_00000302	31	62	2	0	0.788553715884176	0.8955787794302	0.838665575721073
GC_00000303	31	62	2	0	0.858709217439901	0.96096276143173	0.906963002606241
GC_00000304	31	62	2	0	0.73317006612322	0.899504476753698	0.807864322472453
GC_00000305	31	62	2	0	0.753271901855727	0.896948693197544	0.818855673013962
GC_00000306	31	62	2	0	0.855474664213781	0.923236580959164	0.888064891060074
GC_00000307	31	62	2	0	0.859053829949352	0.920161569092748	0.888558316802907
GC_00000308	31	62	2	0	0.894194232525258	0.942095035536701	0.917519872189518
GC_00000309	31	62	2	0	0.876681300613926	0.999479920108735	0.934061898967215
GC_00000310	31	62	2	0	0.888184457393173	0.990590135442017	0.936596402039782
GC_00000311	31	62	2	0	0.814566718370372	0.888193424766668	0.849788276060323
GC_00000312	31	62	2	0	0.868960602219876	0.985558495066854	0.923594159422988
GC_00000313	31	62	2	0	0.797796178616514	0.987906127930911	0.882731383394991
GC_00000314	31	62	2	0	0.809747709403424	0.898050690823269	0.85161631457879
GC_00000315	31	62	2	0	0.786231702589045	0.930439772934234	0.852278676801172
GC_00000316	31	62	2	0	0.927101310483589	0.941629772306409	0.934309065585055
GC_00000317	31	62	2	0	0.79734248035862	0.979889493043254	0.879240898828672
GC_00000318	31	62	2	0	0.791482329958646	0.942078571705224	0.860239224617607
GC_00000319	31	62	2	0	0.768949350741031	0.85121420122653	0.807993250533007
GC_00000320	31	62	2	0	0.90835369870721	0.99047503000996	0.947638555684284
GC_00000321	31	62	2	0	0.769024759806956	0.972970895303057	0.859059213913296
GC_00000322	31	62	2	0	0.827358347606868	0.992794203109972	0.902557943371558
GC_00000323	31	62	2	0	0.859698803575339	0.833127578887931	0.846204655380379
GC_00000324	31	62	2	0	0.800510217972123	0.774609585858164	0.787346952162918
GC_00000325	31	62	2	0	0.778362053255319	0.934621311360198	0.849364655785534
GC_00000326	31	62	2	0	0.852457215182725	0.890348727512037	0.870991058961892
GC_00000327	31	62	2	0	0.788548668456743	0.986976698077501	0.876674786782705
GC_00000328	31	62	2	0	0.750917795475688	0.989708856537116	0.853933831076543
GC_00000329	31	62	2	0	0.895427483038788	0.996712265857663	0.943359026257269
GC_00000330	31	62	2	0	0.794470442173622	0.967953435416439	0.872673598692183
GC_00000331	31	62	2	0	0.788008933822765	0.981374899923256	0.874125979699611
GC_00000332	31	62	2	0	0.777996501415987	0.948055685459976	0.854648558188004
GC_00000333	31	62	2	0	0.823124182014321	0.97664945127616	0.893338768639106
GC_00000334	31	62	2	0	0.900600758219943	0.989572396285749	0.94299260179847
GC_00000335	31	62	2	0	0.913753374438318	0.967015797704148	0.939630403746744
GC_00000336	31	62	2	0	0.819318416555016	0.99836032829453	0.900021530919454
GC_00000337	31	62	2	0	0.729080679928188	0.981023219528916	0.836493123191576
GC_00000338	31	62	2	0	0.930483590811362	1.0	0.963990157948237
GC_00000339	31	62	2	0	0.876533659730722	0.979953418951635	0.925362925002375
GC_00000340	31	62	2	0	0.773671340882531	0.955962153261864	0.855210683015732
GC_00000341	31	62	2	0	0.77408695439958	0.950431269502828	0.853242878594486
GC_00000342	31	62	2	0	0.872668629925677	0.938014363453369	0.904162365691472
GC_00000343	31	62	2	0	0.893161371916809	0.907031091499289	0.900042801553994
GC_00000344	31	62	2	0	0.833478183612075	0.877926554464969	0.855125165520406
GC_00000345	31	62	2	0	0.812870602282477	0.991337688712706	0.89327742047425
GC_00000346	31	62	2	0	0.808359924093622	0.974812311539166	0.883817267244175
GC_00000347	31	62	2	0	0.878782971656679	0.997614627257108	0.934436014218596
GC_00000348	31	62	2	0	0.863635502817705	0.967104566064144	0.912446122075901
GC_00000349	31	62	2	0	0.744354681690575	0.974261162745127	0.843930143000343
GC_00000350	31	62	2	0	0.764197088842035	0.987190703590334	0.861497682095766
GC_00000351	31	62	2	0	0.858465463896015	0.948786602419561	0.90136904083883
GC_00000352	31	62	2	0	0.877631636634662	0.99277387822671	0.93165867683065
GC_00000353	31	62	2	0	0.768943480560247	0.945220465759553	0.848018203157716
GC_00000354	31	62	2	0	0.801087252272513	0.946972923534211	0.867942588921911
GC_00000355	31	62	2	0	0.890580754689909	0.946022110436914	0.917464631100931
GC_00000356	31	62	2	0	0.900773988054222	0.95963393691821	0.929272851213853
GC_00000357	31	62	2	0	0.920138792247674	1.0	0.958408627504034
